Warning: the memory at [0x2000, 0x400F] has been realigned
to the 4 KiB page size: [0x2000, 0x4FFF]
warning: tohost and fromhost symbols not in ELF; can't communicate with target
core   0: 0x0000225c (0x06f12223) sw      a5, 100(sp)
core   0: 0x00002260 (0x07012423) sw      a6, 104(sp)
core   0: 0x00002264 (0x07112623) sw      a7, 108(sp)
core   0: 0x00002268 (0x06312823) sw      gp, 112(sp)
core   0: 0x0000226c (0x06412a23) sw      tp, 116(sp)
core   0: 0x00002270 (0xf41ff0ef) jal     pc - 0xc0
core   0: >>>>  on_timer_irq
core   0: 0x000021b0 (0xff010113) addi    sp, sp, -16
core   0: 0x000021b4 (0x00112623) sw      ra, 12(sp)
core   0: 0x000021b8 (0x00812423) sw      s0, 8(sp)
core   0: 0x000021bc (0x01010413) addi    s0, sp, 16
core   0: 0x000021c0 (0x000027b7) lui     a5, 0x2
core   0: 0x000021c4 (0x60078793) addi    a5, a5, 1536
core   0: 0x000021c8 (0xdeadc737) lui     a4, 0xdeadc
core   0: 0x000021cc (0xeef70713) addi    a4, a4, -273
core   0: 0x000021d0 (0x00e7a023) sw      a4, 0(a5)
core   0: 0x000021d4 (0x000037b7) lui     a5, 0x3
core   0: 0x000021d8 (0x00100713) li      a4, 1
core   0: 0x000021dc (0x80e7a023) sw      a4, -2048(a5)
core   0: 0x000021e0 (0x00000013) nop
core   0: 0x000021e4 (0x00c12083) lw      ra, 12(sp)
core   0: 0x000021e8 (0x00812403) lw      s0, 8(sp)
core   0: 0x000021ec (0x01010113) addi    sp, sp, 16
core   0: 0x000021f0 (0x00008067) ret
core   0: 0x00002274 (0x07412203) lw      tp, 116(sp)
core   0: 0x00002278 (0x07012183) lw      gp, 112(sp)
core   0: 0x0000227c (0x06c12883) lw      a7, 108(sp)
core   0: 0x00002280 (0x06812803) lw      a6, 104(sp)
core   0: 0x00002284 (0x06412783) lw      a5, 100(sp)
core   0: 0x00002288 (0x06012703) lw      a4, 96(sp)
core   0: 0x0000228c (0x05c12683) lw      a3, 92(sp)
core   0: 0x00002290 (0x05812603) lw      a2, 88(sp)
core   0: 0x00002294 (0x05412583) lw      a1, 84(sp)
core   0: 0x00002298 (0x05012503) lw      a0, 80(sp)
core   0: 0x0000229c (0x04c12f83) lw      t6, 76(sp)
core   0: 0x000022a0 (0x04812f03) lw      t5, 72(sp)
core   0: 0x000022a4 (0x04412e83) lw      t4, 68(sp)
core   0: 0x000022a8 (0x04012e03) lw      t3, 64(sp)
core   0: 0x000022ac (0x03c12d83) lw      s11, 60(sp)
core   0: 0x000022b0 (0x03812d03) lw      s10, 56(sp)
core   0: 0x000022b4 (0x03412c83) lw      s9, 52(sp)
core   0: 0x000022b8 (0x03012c03) lw      s8, 48(sp)
core   0: 0x000022bc (0x02c12b83) lw      s7, 44(sp)
core   0: 0x000022c0 (0x02812b03) lw      s6, 40(sp)
core   0: 0x000022c4 (0x02412a83) lw      s5, 36(sp)
core   0: 0x000022c8 (0x02012a03) lw      s4, 32(sp)
core   0: 0x000022cc (0x01c12983) lw      s3, 28(sp)
core   0: 0x000022d0 (0x01812903) lw      s2, 24(sp)
core   0: 0x000022d4 (0x01412483) lw      s1, 20(sp)
core   0: 0x000022d8 (0x01012403) lw      s0, 16(sp)
core   0: 0x000022dc (0x00c12383) lw      t2, 12(sp)
core   0: 0x000022e0 (0x00812303) lw      t1, 8(sp)
core   0: 0x000022e4 (0x00412283) lw      t0, 4(sp)
core   0: 0x000022e8 (0x00012083) lw      ra, 0(sp)
core   0: 0x000022ec (0x08010113) addi    sp, sp, 128
core   0: 0x000022f0 (0x30200073) mret
core   0: exception interrupt #7, epc 0x0000219c
core   0: >>>>  trap_handler
core   0: 0x000021f4 (0xf8010113) addi    sp, sp, -128
core   0: 0x000021f8 (0x00112023) sw      ra, 0(sp)
core   0: 0x000021fc (0x00512223) sw      t0, 4(sp)
core   0: 0x00002200 (0x00612423) sw      t1, 8(sp)
core   0: 0x00002204 (0x00712623) sw      t2, 12(sp)
core   0: 0x00002208 (0x00812823) sw      s0, 16(sp)
core   0: 0x0000220c (0x00912a23) sw      s1, 20(sp)
core   0: 0x00002210 (0x01212c23) sw      s2, 24(sp)
core   0: 0x00002214 (0x01312e23) sw      s3, 28(sp)
core   0: 0x00002218 (0x03412023) sw      s4, 32(sp)
core   0: 0x0000221c (0x03512223) sw      s5, 36(sp)
core   0: 0x00002220 (0x03612423) sw      s6, 40(sp)
core   0: 0x00002224 (0x03712623) sw      s7, 44(sp)
core   0: 0x00002228 (0x03812823) sw      s8, 48(sp)
core   0: 0x0000222c (0x03912a23) sw      s9, 52(sp)
core   0: 0x00002230 (0x03a12c23) sw      s10, 56(sp)
core   0: 0x00002234 (0x03b12e23) sw      s11, 60(sp)
core   0: 0x00002238 (0x05c12023) sw      t3, 64(sp)
core   0: 0x0000223c (0x05d12223) sw      t4, 68(sp)
core   0: 0x00002240 (0x05e12423) sw      t5, 72(sp)
core   0: 0x00002244 (0x05f12623) sw      t6, 76(sp)
core   0: 0x00002248 (0x04a12823) sw      a0, 80(sp)
core   0: 0x0000224c (0x04b12a23) sw      a1, 84(sp)
core   0: 0x00002250 (0x04c12c23) sw      a2, 88(sp)
core   0: 0x00002254 (0x04d12e23) sw      a3, 92(sp)
core   0: 0x00002258 (0x06e12023) sw      a4, 96(sp)
core   0: 0x0000225c (0x06f12223) sw      a5, 100(sp)
core   0: 0x00002260 (0x07012423) sw      a6, 104(sp)
core   0: 0x00002264 (0x07112623) sw      a7, 108(sp)
core   0: 0x00002268 (0x06312823) sw      gp, 112(sp)
core   0: 0x0000226c (0x06412a23) sw      tp, 116(sp)
core   0: 0x00002270 (0xf41ff0ef) jal     pc - 0xc0
core   0: >>>>  on_timer_irq
core   0: 0x000021b0 (0xff010113) addi    sp, sp, -16
core   0: 0x000021b4 (0x00112623) sw      ra, 12(sp)
core   0: 0x000021b8 (0x00812423) sw      s0, 8(sp)
core   0: 0x000021bc (0x01010413) addi    s0, sp, 16
core   0: 0x000021c0 (0x000027b7) lui     a5, 0x2
core   0: 0x000021c4 (0x60078793) addi    a5, a5, 1536
core   0: 0x000021c8 (0xdeadc737) lui     a4, 0xdeadc
core   0: 0x000021cc (0xeef70713) addi    a4, a4, -273
core   0: 0x000021d0 (0x00e7a023) sw      a4, 0(a5)
core   0: 0x000021d4 (0x000037b7) lui     a5, 0x3
core   0: 0x000021d8 (0x00100713) li      a4, 1
core   0: 0x000021dc (0x80e7a023) sw      a4, -2048(a5)
core   0: 0x000021e0 (0x00000013) nop
core   0: 0x000021e4 (0x00c12083) lw      ra, 12(sp)
core   0: 0x000021e8 (0x00812403) lw      s0, 8(sp)
core   0: 0x000021ec (0x01010113) addi    sp, sp, 16
core   0: 0x000021f0 (0x00008067) ret
core   0: 0x00002274 (0x07412203) lw      tp, 116(sp)
core   0: 0x00002278 (0x07012183) lw      gp, 112(sp)
core   0: 0x0000227c (0x06c12883) lw      a7, 108(sp)
core   0: 0x00002280 (0x06812803) lw      a6, 104(sp)
core   0: 0x00002284 (0x06412783) lw      a5, 100(sp)
core   0: 0x00002288 (0x06012703) lw      a4, 96(sp)
core   0: 0x0000228c (0x05c12683) lw      a3, 92(sp)
core   0: 0x00002290 (0x05812603) lw      a2, 88(sp)
core   0: 0x00002294 (0x05412583) lw      a1, 84(sp)
core   0: 0x00002298 (0x05012503) lw      a0, 80(sp)
core   0: 0x0000229c (0x04c12f83) lw      t6, 76(sp)
core   0: 0x000022a0 (0x04812f03) lw      t5, 72(sp)
core   0: 0x000022a4 (0x04412e83) lw      t4, 68(sp)
core   0: 0x000022a8 (0x04012e03) lw      t3, 64(sp)
core   0: 0x000022ac (0x03c12d83) lw      s11, 60(sp)
core   0: 0x000022b0 (0x03812d03) lw      s10, 56(sp)
core   0: 0x000022b4 (0x03412c83) lw      s9, 52(sp)
core   0: 0x000022b8 (0x03012c03) lw      s8, 48(sp)
core   0: 0x000022bc (0x02c12b83) lw      s7, 44(sp)
core   0: 0x000022c0 (0x02812b03) lw      s6, 40(sp)
core   0: 0x000022c4 (0x02412a83) lw      s5, 36(sp)
core   0: 0x000022c8 (0x02012a03) lw      s4, 32(sp)
core   0: 0x000022cc (0x01c12983) lw      s3, 28(sp)
core   0: 0x000022d0 (0x01812903) lw      s2, 24(sp)
core   0: 0x000022d4 (0x01412483) lw      s1, 20(sp)
core   0: 0x000022d8 (0x01012403) lw      s0, 16(sp)
core   0: 0x000022dc (0x00c12383) lw      t2, 12(sp)
core   0: 0x000022e0 (0x00812303) lw      t1, 8(sp)
core   0: 0x000022e4 (0x00412283) lw      t0, 4(sp)
core   0: 0x000022e8 (0x00012083) lw      ra, 0(sp)
core   0: 0x000022ec (0x08010113) addi    sp, sp, 128
core   0: 0x000022f0 (0x30200073) mret
core   0: exception interrupt #7, epc 0x0000219c
core   0: >>>>  trap_handler
core   0: 0x000021f4 (0xf8010113) addi    sp, sp, -128
core   0: 0x000021f8 (0x00112023) sw      ra, 0(sp)
core   0: 0x000021fc (0x00512223) sw      t0, 4(sp)
core   0: 0x00002200 (0x00612423) sw      t1, 8(sp)
core   0: 0x00002204 (0x00712623) sw      t2, 12(sp)
core   0: 0x00002208 (0x00812823) sw      s0, 16(sp)
core   0: 0x0000220c (0x00912a23) sw      s1, 20(sp)
core   0: 0x00002210 (0x01212c23) sw      s2, 24(sp)
core   0: 0x00002214 (0x01312e23) sw      s3, 28(sp)
core   0: 0x00002218 (0x03412023) sw      s4, 32(sp)
core   0: 0x0000221c (0x03512223) sw      s5, 36(sp)
core   0: 0x00002220 (0x03612423) sw      s6, 40(sp)
core   0: 0x00002224 (0x03712623) sw      s7, 44(sp)
core   0: 0x00002228 (0x03812823) sw      s8, 48(sp)
core   0: 0x0000222c (0x03912a23) sw      s9, 52(sp)
core   0: 0x00002230 (0x03a12c23) sw      s10, 56(sp)
core   0: 0x00002234 (0x03b12e23) sw      s11, 60(sp)
core   0: 0x00002238 (0x05c12023) sw      t3, 64(sp)
core   0: 0x0000223c (0x05d12223) sw      t4, 68(sp)
core   0: 0x00002240 (0x05e12423) sw      t5, 72(sp)
core   0: 0x00002244 (0x05f12623) sw      t6, 76(sp)
core   0: 0x00002248 (0x04a12823) sw      a0, 80(sp)
core   0: 0x0000224c (0x04b12a23) sw      a1, 84(sp)
core   0: 0x00002250 (0x04c12c23) sw      a2, 88(sp)
core   0: 0x00002254 (0x04d12e23) sw      a3, 92(sp)
core   0: 0x00002258 (0x06e12023) sw      a4, 96(sp)
core   0: 0x0000225c (0x06f12223) sw      a5, 100(sp)
core   0: 0x00002260 (0x07012423) sw      a6, 104(sp)
core   0: 0x00002264 (0x07112623) sw      a7, 108(sp)
core   0: 0x00002268 (0x06312823) sw      gp, 112(sp)
core   0: 0x0000226c (0x06412a23) sw      tp, 116(sp)
core   0: 0x00002270 (0xf41ff0ef) jal     pc - 0xc0
core   0: >>>>  on_timer_irq
core   0: 0x000021b0 (0xff010113) addi    sp, sp, -16
core   0: 0x000021b4 (0x00112623) sw      ra, 12(sp)
core   0: 0x000021b8 (0x00812423) sw      s0, 8(sp)
core   0: 0x000021bc (0x01010413) addi    s0, sp, 16
core   0: 0x000021c0 (0x000027b7) lui     a5, 0x2
core   0: 0x000021c4 (0x60078793) addi    a5, a5, 1536
core   0: 0x000021c8 (0xdeadc737) lui     a4, 0xdeadc
core   0: 0x000021cc (0xeef70713) addi    a4, a4, -273
core   0: 0x000021d0 (0x00e7a023) sw      a4, 0(a5)
core   0: 0x000021d4 (0x000037b7) lui     a5, 0x3
core   0: 0x000021d8 (0x00100713) li      a4, 1
core   0: 0x000021dc (0x80e7a023) sw      a4, -2048(a5)
core   0: 0x000021e0 (0x00000013) nop
core   0: 0x000021e4 (0x00c12083) lw      ra, 12(sp)
core   0: 0x000021e8 (0x00812403) lw      s0, 8(sp)
core   0: 0x000021ec (0x01010113) addi    sp, sp, 16
core   0: 0x000021f0 (0x00008067) ret
core   0: 0x00002274 (0x07412203) lw      tp, 116(sp)
core   0: 0x00002278 (0x07012183) lw      gp, 112(sp)
core   0: 0x0000227c (0x06c12883) lw      a7, 108(sp)
core   0: 0x00002280 (0x06812803) lw      a6, 104(sp)
core   0: 0x00002284 (0x06412783) lw      a5, 100(sp)
core   0: 0x00002288 (0x06012703) lw      a4, 96(sp)
core   0: 0x0000228c (0x05c12683) lw      a3, 92(sp)
core   0: 0x00002290 (0x05812603) lw      a2, 88(sp)
core   0: 0x00002294 (0x05412583) lw      a1, 84(sp)
core   0: 0x00002298 (0x05012503) lw      a0, 80(sp)
core   0: 0x0000229c (0x04c12f83) lw      t6, 76(sp)
core   0: 0x000022a0 (0x04812f03) lw      t5, 72(sp)
core   0: 0x000022a4 (0x04412e83) lw      t4, 68(sp)
core   0: 0x000022a8 (0x04012e03) lw      t3, 64(sp)
core   0: 0x000022ac (0x03c12d83) lw      s11, 60(sp)
core   0: 0x000022b0 (0x03812d03) lw      s10, 56(sp)
core   0: 0x000022b4 (0x03412c83) lw      s9, 52(sp)
core   0: 0x000022b8 (0x03012c03) lw      s8, 48(sp)
core   0: 0x000022bc (0x02c12b83) lw      s7, 44(sp)
core   0: 0x000022c0 (0x02812b03) lw      s6, 40(sp)
core   0: 0x000022c4 (0x02412a83) lw      s5, 36(sp)
core   0: 0x000022c8 (0x02012a03) lw      s4, 32(sp)
core   0: 0x000022cc (0x01c12983) lw      s3, 28(sp)
core   0: 0x000022d0 (0x01812903) lw      s2, 24(sp)
core   0: 0x000022d4 (0x01412483) lw      s1, 20(sp)
core   0: 0x000022d8 (0x01012403) lw      s0, 16(sp)
core   0: 0x000022dc (0x00c12383) lw      t2, 12(sp)
core   0: 0x000022e0 (0x00812303) lw      t1, 8(sp)
core   0: 0x000022e4 (0x00412283) lw      t0, 4(sp)
core   0: 0x000022e8 (0x00012083) lw      ra, 0(sp)
core   0: 0x000022ec (0x08010113) addi    sp, sp, 128
core   0: 0x000022f0 (0x30200073) mret
core   0: exception interrupt #7, epc 0x0000219c
core   0: >>>>  trap_handler
core   0: 0x000021f4 (0xf8010113) addi    sp, sp, -128
core   0: 0x000021f8 (0x00112023) sw      ra, 0(sp)
core   0: 0x000021fc (0x00512223) sw      t0, 4(sp)
core   0: 0x00002200 (0x00612423) sw      t1, 8(sp)
core   0: 0x00002204 (0x00712623) sw      t2, 12(sp)
core   0: 0x00002208 (0x00812823) sw      s0, 16(sp)
core   0: 0x0000220c (0x00912a23) sw      s1, 20(sp)
core   0: 0x00002210 (0x01212c23) sw      s2, 24(sp)
core   0: 0x00002214 (0x01312e23) sw      s3, 28(sp)
core   0: 0x00002218 (0x03412023) sw      s4, 32(sp)
core   0: 0x0000221c (0x03512223) sw      s5, 36(sp)
core   0: 0x00002220 (0x03612423) sw      s6, 40(sp)
core   0: 0x00002224 (0x03712623) sw      s7, 44(sp)
core   0: 0x00002228 (0x03812823) sw      s8, 48(sp)
core   0: 0x0000222c (0x03912a23) sw      s9, 52(sp)
core   0: 0x00002230 (0x03a12c23) sw      s10, 56(sp)
core   0: 0x00002234 (0x03b12e23) sw      s11, 60(sp)
core   0: 0x00002238 (0x05c12023) sw      t3, 64(sp)
core   0: 0x0000223c (0x05d12223) sw      t4, 68(sp)
core   0: 0x00002240 (0x05e12423) sw      t5, 72(sp)
core   0: 0x00002244 (0x05f12623) sw      t6, 76(sp)
core   0: 0x00002248 (0x04a12823) sw      a0, 80(sp)
core   0: 0x0000224c (0x04b12a23) sw      a1, 84(sp)
core   0: 0x00002250 (0x04c12c23) sw      a2, 88(sp)
core   0: 0x00002254 (0x04d12e23) sw      a3, 92(sp)
core   0: 0x00002258 (0x06e12023) sw      a4, 96(sp)
core   0: 0x0000225c (0x06f12223) sw      a5, 100(sp)
core   0: 0x00002260 (0x07012423) sw      a6, 104(sp)
core   0: 0x00002264 (0x07112623) sw      a7, 108(sp)
core   0: 0x00002268 (0x06312823) sw      gp, 112(sp)
core   0: 0x0000226c (0x06412a23) sw      tp, 116(sp)
core   0: 0x00002270 (0xf41ff0ef) jal     pc - 0xc0
core   0: >>>>  on_timer_irq
core   0: 0x000021b0 (0xff010113) addi    sp, sp, -16
core   0: 0x000021b4 (0x00112623) sw      ra, 12(sp)
core   0: 0x000021b8 (0x00812423) sw      s0, 8(sp)
core   0: 0x000021bc (0x01010413) addi    s0, sp, 16
core   0: 0x000021c0 (0x000027b7) lui     a5, 0x2
core   0: 0x000021c4 (0x60078793) addi    a5, a5, 1536
core   0: 0x000021c8 (0xdeadc737) lui     a4, 0xdeadc
core   0: 0x000021cc (0xeef70713) addi    a4, a4, -273
core   0: 0x000021d0 (0x00e7a023) sw      a4, 0(a5)
core   0: 0x000021d4 (0x000037b7) lui     a5, 0x3
core   0: 0x000021d8 (0x00100713) li      a4, 1
core   0: 0x000021dc (0x80e7a023) sw      a4, -2048(a5)
core   0: 0x000021e0 (0x00000013) nop
core   0: 0x000021e4 (0x00c12083) lw      ra, 12(sp)
core   0: 0x000021e8 (0x00812403) lw      s0, 8(sp)
core   0: 0x000021ec (0x01010113) addi    sp, sp, 16
core   0: 0x000021f0 (0x00008067) ret
core   0: 0x00002274 (0x07412203) lw      tp, 116(sp)
core   0: 0x00002278 (0x07012183) lw      gp, 112(sp)
core   0: 0x0000227c (0x06c12883) lw      a7, 108(sp)
core   0: 0x00002280 (0x06812803) lw      a6, 104(sp)
core   0: 0x00002284 (0x06412783) lw      a5, 100(sp)
core   0: 0x00002288 (0x06012703) lw      a4, 96(sp)
core   0: 0x0000228c (0x05c12683) lw      a3, 92(sp)
core   0: 0x00002290 (0x05812603) lw      a2, 88(sp)
core   0: 0x00002294 (0x05412583) lw      a1, 84(sp)
core   0: 0x00002298 (0x05012503) lw      a0, 80(sp)
core   0: 0x0000229c (0x04c12f83) lw      t6, 76(sp)
core   0: 0x000022a0 (0x04812f03) lw      t5, 72(sp)
core   0: 0x000022a4 (0x04412e83) lw      t4, 68(sp)
core   0: 0x000022a8 (0x04012e03) lw      t3, 64(sp)
core   0: 0x000022ac (0x03c12d83) lw      s11, 60(sp)
core   0: 0x000022b0 (0x03812d03) lw      s10, 56(sp)
core   0: 0x000022b4 (0x03412c83) lw      s9, 52(sp)
core   0: 0x000022b8 (0x03012c03) lw      s8, 48(sp)
core   0: 0x000022bc (0x02c12b83) lw      s7, 44(sp)
core   0: 0x000022c0 (0x02812b03) lw      s6, 40(sp)
core   0: 0x000022c4 (0x02412a83) lw      s5, 36(sp)
core   0: 0x000022c8 (0x02012a03) lw      s4, 32(sp)
core   0: 0x000022cc (0x01c12983) lw      s3, 28(sp)
core   0: 0x000022d0 (0x01812903) lw      s2, 24(sp)
core   0: 0x000022d4 (0x01412483) lw      s1, 20(sp)
core   0: 0x000022d8 (0x01012403) lw      s0, 16(sp)
core   0: 0x000022dc (0x00c12383) lw      t2, 12(sp)
core   0: 0x000022e0 (0x00812303) lw      t1, 8(sp)
core   0: 0x000022e4 (0x00412283) lw      t0, 4(sp)
core   0: 0x000022e8 (0x00012083) lw      ra, 0(sp)
core   0: 0x000022ec (0x08010113) addi    sp, sp, 128
core   0: 0x000022f0 (0x30200073) mret
core   0: exception interrupt #7, epc 0x0000219c
core   0: >>>>  trap_handler
core   0: 0x000021f4 (0xf8010113) addi    sp, sp, -128
core   0: 0x000021f8 (0x00112023) sw      ra, 0(sp)
core   0: 0x000021fc (0x00512223) sw      t0, 4(sp)
core   0: 0x00002200 (0x00612423) sw      t1, 8(sp)
core   0: 0x00002204 (0x00712623) sw      t2, 12(sp)
core   0: 0x00002208 (0x00812823) sw      s0, 16(sp)
core   0: 0x0000220c (0x00912a23) sw      s1, 20(sp)
core   0: 0x00002210 (0x01212c23) sw      s2, 24(sp)
core   0: 0x00002214 (0x01312e23) sw      s3, 28(sp)
core   0: 0x00002218 (0x03412023) sw      s4, 32(sp)
core   0: 0x0000221c (0x03512223) sw      s5, 36(sp)
core   0: 0x00002220 (0x03612423) sw      s6, 40(sp)
core   0: 0x00002224 (0x03712623) sw      s7, 44(sp)
core   0: 0x00002228 (0x03812823) sw      s8, 48(sp)
core   0: 0x0000222c (0x03912a23) sw      s9, 52(sp)
core   0: 0x00002230 (0x03a12c23) sw      s10, 56(sp)
core   0: 0x00002234 (0x03b12e23) sw      s11, 60(sp)
core   0: 0x00002238 (0x05c12023) sw      t3, 64(sp)
core   0: 0x0000223c (0x05d12223) sw      t4, 68(sp)
core   0: 0x00002240 (0x05e12423) sw      t5, 72(sp)
core   0: 0x00002244 (0x05f12623) sw      t6, 76(sp)
core   0: 0x00002248 (0x04a12823) sw      a0, 80(sp)
core   0: 0x0000224c (0x04b12a23) sw      a1, 84(sp)
core   0: 0x00002250 (0x04c12c23) sw      a2, 88(sp)
core   0: 0x00002254 (0x04d12e23) sw      a3, 92(sp)
core   0: 0x00002258 (0x06e12023) sw      a4, 96(sp)
core   0: 0x0000225c (0x06f12223) sw      a5, 100(sp)
core   0: 0x00002260 (0x07012423) sw      a6, 104(sp)
core   0: 0x00002264 (0x07112623) sw      a7, 108(sp)
core   0: 0x00002268 (0x06312823) sw      gp, 112(sp)
core   0: 0x0000226c (0x06412a23) sw      tp, 116(sp)
core   0: 0x00002270 (0xf41ff0ef) jal     pc - 0xc0
core   0: >>>>  on_timer_irq
core   0: 0x000021b0 (0xff010113) addi    sp, sp, -16
core   0: 0x000021b4 (0x00112623) sw      ra, 12(sp)
core   0: 0x000021b8 (0x00812423) sw      s0, 8(sp)
core   0: 0x000021bc (0x01010413) addi    s0, sp, 16
core   0: 0x000021c0 (0x000027b7) lui     a5, 0x2
core   0: 0x000021c4 (0x60078793) addi    a5, a5, 1536
core   0: 0x000021c8 (0xdeadc737) lui     a4, 0xdeadc
core   0: 0x000021cc (0xeef70713) addi    a4, a4, -273
core   0: 0x000021d0 (0x00e7a023) sw      a4, 0(a5)
core   0: 0x000021d4 (0x000037b7) lui     a5, 0x3
core   0: 0x000021d8 (0x00100713) li      a4, 1
core   0: 0x000021dc (0x80e7a023) sw      a4, -2048(a5)
core   0: 0x000021e0 (0x00000013) nop
core   0: 0x000021e4 (0x00c12083) lw      ra, 12(sp)
core   0: 0x000021e8 (0x00812403) lw      s0, 8(sp)
core   0: 0x000021ec (0x01010113) addi    sp, sp, 16
core   0: 0x000021f0 (0x00008067) ret
core   0: 0x00002274 (0x07412203) lw      tp, 116(sp)
core   0: 0x00002278 (0x07012183) lw      gp, 112(sp)
core   0: 0x0000227c (0x06c12883) lw      a7, 108(sp)
core   0: 0x00002280 (0x06812803) lw      a6, 104(sp)
core   0: 0x00002284 (0x06412783) lw      a5, 100(sp)
core   0: 0x00002288 (0x06012703) lw      a4, 96(sp)
core   0: 0x0000228c (0x05c12683) lw      a3, 92(sp)
core   0: 0x00002290 (0x05812603) lw      a2, 88(sp)
core   0: 0x00002294 (0x05412583) lw      a1, 84(sp)
core   0: 0x00002298 (0x05012503) lw      a0, 80(sp)
core   0: 0x0000229c (0x04c12f83) lw      t6, 76(sp)
core   0: 0x000022a0 (0x04812f03) lw      t5, 72(sp)
core   0: 0x000022a4 (0x04412e83) lw      t4, 68(sp)
core   0: 0x000022a8 (0x04012e03) lw      t3, 64(sp)
core   0: 0x000022ac (0x03c12d83) lw      s11, 60(sp)
core   0: 0x000022b0 (0x03812d03) lw      s10, 56(sp)
core   0: 0x000022b4 (0x03412c83) lw      s9, 52(sp)
core   0: 0x000022b8 (0x03012c03) lw      s8, 48(sp)
core   0: 0x000022bc (0x02c12b83) lw      s7, 44(sp)
core   0: 0x000022c0 (0x02812b03) lw      s6, 40(sp)
core   0: 0x000022c4 (0x02412a83) lw      s5, 36(sp)
core   0: 0x000022c8 (0x02012a03) lw      s4, 32(sp)
core   0: 0x000022cc (0x01c12983) lw      s3, 28(sp)
core   0: 0x000022d0 (0x01812903) lw      s2, 24(sp)
core   0: 0x000022d4 (0x01412483) lw      s1, 20(sp)
core   0: 0x000022d8 (0x01012403) lw      s0, 16(sp)
core   0: 0x000022dc (0x00c12383) lw      t2, 12(sp)
core   0: 0x000022e0 (0x00812303) lw      t1, 8(sp)
core   0: 0x000022e4 (0x00412283) lw      t0, 4(sp)
core   0: 0x000022e8 (0x00012083) lw      ra, 0(sp)
core   0: 0x000022ec (0x08010113) addi    sp, sp, 128
core   0: 0x000022f0 (0x30200073) mret
core   0: exception interrupt #7, epc 0x0000219c
core   0: >>>>  trap_handler
core   0: 0x000021f4 (0xf8010113) addi    sp, sp, -128
core   0: 0x000021f8 (0x00112023) sw      ra, 0(sp)
core   0: 0x000021fc (0x00512223) sw      t0, 4(sp)
core   0: 0x00002200 (0x00612423) sw      t1, 8(sp)
core   0: 0x00002204 (0x00712623) sw      t2, 12(sp)
core   0: 0x00002208 (0x00812823) sw      s0, 16(sp)
core   0: 0x0000220c (0x00912a23) sw      s1, 20(sp)
core   0: 0x00002210 (0x01212c23) sw      s2, 24(sp)
core   0: 0x00002214 (0x01312e23) sw      s3, 28(sp)
core   0: 0x00002218 (0x03412023) sw      s4, 32(sp)
core   0: 0x0000221c (0x03512223) sw      s5, 36(sp)
core   0: 0x00002220 (0x03612423) sw      s6, 40(sp)
core   0: 0x00002224 (0x03712623) sw      s7, 44(sp)
core   0: 0x00002228 (0x03812823) sw      s8, 48(sp)
core   0: 0x0000222c (0x03912a23) sw      s9, 52(sp)
core   0: 0x00002230 (0x03a12c23) sw      s10, 56(sp)
core   0: 0x00002234 (0x03b12e23) sw      s11, 60(sp)
core   0: 0x00002238 (0x05c12023) sw      t3, 64(sp)
core   0: 0x0000223c (0x05d12223) sw      t4, 68(sp)
core   0: 0x00002240 (0x05e12423) sw      t5, 72(sp)
core   0: 0x00002244 (0x05f12623) sw      t6, 76(sp)
core   0: 0x00002248 (0x04a12823) sw      a0, 80(sp)
core   0: 0x0000224c (0x04b12a23) sw      a1, 84(sp)
core   0: 0x00002250 (0x04c12c23) sw      a2, 88(sp)
core   0: 0x00002254 (0x04d12e23) sw      a3, 92(sp)
core   0: 0x00002258 (0x06e12023) sw      a4, 96(sp)
core   0: 0x0000225c (0x06f12223) sw      a5, 100(sp)
core   0: 0x00002260 (0x07012423) sw      a6, 104(sp)
core   0: 0x00002264 (0x07112623) sw      a7, 108(sp)
core   0: 0x00002268 (0x06312823) sw      gp, 112(sp)
core   0: 0x0000226c (0x06412a23) sw      tp, 116(sp)
core   0: 0x00002270 (0xf41ff0ef) jal     pc - 0xc0
core   0: >>>>  on_timer_irq
core   0: 0x000021b0 (0xff010113) addi    sp, sp, -16
core   0: 0x000021b4 (0x00112623) sw      ra, 12(sp)
core   0: 0x000021b8 (0x00812423) sw      s0, 8(sp)
core   0: 0x000021bc (0x01010413) addi    s0, sp, 16
core   0: 0x000021c0 (0x000027b7) lui     a5, 0x2
core   0: 0x000021c4 (0x60078793) addi    a5, a5, 1536
core   0: 0x000021c8 (0xdeadc737) lui     a4, 0xdeadc
core   0: 0x000021cc (0xeef70713) addi    a4, a4, -273
core   0: 0x000021d0 (0x00e7a023) sw      a4, 0(a5)
core   0: 0x000021d4 (0x000037b7) lui     a5, 0x3
core   0: 0x000021d8 (0x00100713) li      a4, 1
core   0: 0x000021dc (0x80e7a023) sw      a4, -2048(a5)
core   0: 0x000021e0 (0x00000013) nop
core   0: 0x000021e4 (0x00c12083) lw      ra, 12(sp)
core   0: 0x000021e8 (0x00812403) lw      s0, 8(sp)
core   0: 0x000021ec (0x01010113) addi    sp, sp, 16
core   0: 0x000021f0 (0x00008067) ret
core   0: 0x00002274 (0x07412203) lw      tp, 116(sp)
core   0: 0x00002278 (0x07012183) lw      gp, 112(sp)
core   0: 0x0000227c (0x06c12883) lw      a7, 108(sp)
core   0: 0x00002280 (0x06812803) lw      a6, 104(sp)
